Campaign Name,Campaign Status,Buying Type,Objective,Ad Set Name,Ad Set Daily Budget,Ad Set Status,Min Age,Max Age,Gender,Interests,Ad Name,Ad Status,Title,Body,Link Description,Link,Call to Action
[AFF] Campaign - Product #01 (product_01_zipper_bag_custom),PAUSED,AUCTION,OUTBOUND_CLICKS,AdSet - Audience Target - Product #01,25000,PAUSED,21,45,ALL,"Shopping and fashion, Clothing, Boutique, Small business, E-commerce",Ad Creative - Product #01,PAUSED,📦 Zipper Bag Custom Olshop (Free Desain & Sablon),Pengen brand fashion / olshop kamu kelihatan se-premium brand mall? 🛍️✨  Upgrade packaging olshop kamu pakai Zipper Bag Custom berlogo brand sendiri! ✅ FREE Desain Logo & Sablon 1 Warna ✅ Plastik Zipper Premium Frosted & Durable ✅ Cetak Minimal Cuma 100 Pcs (Rp4.300/pcs)  Bikin pembeli makin percaya dan repeat order terus! Klik Beli Sekarang di Shopee! 👇 https://s.shopee.co.id/8fRGG2Smxy,🌟 10RB+ terjual | Komisi Spesial 80%,https://s.shopee.co.id/8fRGG2Smxy,SHOP_NOW
[AFF] Campaign - Product #02 (product_02_tutup_botol_longneck),PAUSED,AUCTION,OUTBOUND_CLICKS,AdSet - Audience Target - Product #02,25000,PAUSED,18,50,ALL,"Online shopping, Shopee, E-commerce, Discount shopping",Ad Creative - Product #02,PAUSED,🛍️ Promo Hemat Shopee: 50 PCS TUTUP BOTOL LONGNECK,Dapatkan penawaran terbaik untuk 50 PCS TUTUP BOTOL LONGNECK! 🌟  ✅ Kualitas terjamin ✅ Harga terbaik cuma Rp8.500 ✅ Pengiriman cepat & promo komisi Shopee  Klik Beli Sekarang sebelum kehabisan! 👇 https://s.shopee.co.id/19Hw7Epyt,✨ Promo Shopee | 83 terjual,https://s.shopee.co.id/19Hw7Epyt,SHOP_NOW
[AFF] Campaign - Product #03 (product_03_tutup_botol_3cm),PAUSED,AUCTION,OUTBOUND_CLICKS,AdSet - Audience Target - Product #03,25000,PAUSED,18,50,ALL,"Online shopping, Shopee, E-commerce, Discount shopping",Ad Creative - Product #03,PAUSED,🛍️ Promo Hemat Shopee: Tutup botol Diameter 3cm x 9mm tanpa seg,Dapatkan penawaran terbaik untuk Tutup botol Diameter 3cm x 9mm tanpa segel untuk b! 🌟  ✅ Kualitas terjamin ✅ Harga terbaik cuma Rp17.999 ✅ Pengiriman cepat & promo komisi Shopee  Klik Beli Sekarang sebelum kehabisan! 👇 https://s.shopee.co.id/9pdDeBox53,✨ Promo Shopee | 6 terjual,https://s.shopee.co.id/9pdDeBox53,SHOP_NOW
[AFF] Campaign - Product #04 (product_04_bantal_leher_u),PAUSED,AUCTION,OUTBOUND_CLICKS,AdSet - Audience Target - Product #04,25000,PAUSED,20,50,ALL,"Travel, Flight, Public transport, Personal comfort",Ad Creative - Product #04,PAUSED,🛌 Bantal Travel Leher U Empuk & Anti Pegal — Rp48.599,Sering pegal leher pas perjalanan jauh / perjalanan bisnis? 🚗✈️  Gunakan Bantal Leher U Premium ini! ✅ Busa empuk & lembut tidak gampang kempes ✅ Menopang leher dengan sempurna ✅ Ringan dan mudah dibawa kemana-mana  Klik Beli Sekarang di Shopee! 👇 https://s.shopee.co.id/8pkgSM6AFE,✨ Comfort Travel Gear | Komisi 61.5%,https://s.shopee.co.id/8pkgSM6AFE,SHOP_NOW
[AFF] Campaign - Product #05 (product_05_bantal_travel_sandaran),PAUSED,AUCTION,OUTBOUND_CLICKS,AdSet - Audience Target - Product #05,25000,PAUSED,20,50,ALL,"Travel, Flight, Public transport, Personal comfort",Ad Creative - Product #05,PAUSED,🛌 Bantal Travel Leher U Empuk & Anti Pegal — Rp48.599,Sering pegal leher pas perjalanan jauh / perjalanan bisnis? 🚗✈️  Gunakan Bantal Leher U Premium ini! ✅ Busa empuk & lembut tidak gampang kempes ✅ Menopang leher dengan sempurna ✅ Ringan dan mudah dibawa kemana-mana  Klik Beli Sekarang di Shopee! 👇 https://s.shopee.co.id/6pzc4gR2ui,✨ Comfort Travel Gear | Komisi 60%,https://s.shopee.co.id/6pzc4gR2ui,SHOP_NOW
[AFF] Campaign - Product #06 (product_06_ring_karet_roda_koper),PAUSED,AUCTION,OUTBOUND_CLICKS,AdSet - Audience Target - Product #06,25000,PAUSED,22,50,ALL,"Frequent travelers, Air travel, Luggage, Vacation, Tourism",Ad Creative - Product #06,PAUSED,✈️ Aksesoris Travel & Koper Premium — Rp25.000,Travel hacks wajib buat kamu yang sering berpergian! 🧳✨  Dapatkan 4pcs Ring/Strip Karet Roda Koper Pengganti - Mater dengan kualitas terbaik! ✅ Awet & tahan lama ✅ Praktis dan mudah digunakan ✅ Solusi koper aman & nyaman  Dapatkan promo khusus hari ini di Shopee! 👇 https://s.shopee.co.id/3qM0VApFm2,⭐ Travel Hack Wajib | 7 terjual di Shopee,https://s.shopee.co.id/3qM0VApFm2,SHOP_NOW
[AFF] Campaign - Product #07 (product_07_masker_tidur_sutra),PAUSED,AUCTION,OUTBOUND_CLICKS,AdSet - Audience Target - Product #07,25000,PAUSED,18,50,ALL,"Online shopping, Shopee, E-commerce, Discount shopping",Ad Creative - Product #07,PAUSED,🛍️ Promo Hemat Shopee: Masker Tidur Sutra - Bentuk Kontur Wajah,"Dapatkan penawaran terbaik untuk Masker Tidur Sutra - Bentuk Kontur Wajah, Tali Ela! 🌟  ✅ Kualitas terjamin ✅ Harga terbaik cuma Rp26.900 ✅ Pengiriman cepat & promo komisi Shopee  Klik Beli Sekarang sebelum kehabisan! 👇 https://s.shopee.co.id/1Vy5itBkQu",✨ Promo Shopee | 4 terjual,https://s.shopee.co.id/1Vy5itBkQu,SHOP_NOW
[AFF] Campaign - Product #08 (product_08_pelindung_roda_ganda),PAUSED,AUCTION,OUTBOUND_CLICKS,AdSet - Audience Target - Product #08,25000,PAUSED,22,50,ALL,"Frequent travelers, Air travel, Luggage, Vacation, Tourism",Ad Creative - Product #08,PAUSED,✈️ Aksesoris Travel & Koper Premium — Rp35.900,Travel hacks wajib buat kamu yang sering berpergian! 🧳✨  Dapatkan Pelindung Roda Ganda: Koper dan Kursi - Cover Sili dengan kualitas terbaik! ✅ Awet & tahan lama ✅ Praktis dan mudah digunakan ✅ Solusi koper aman & nyaman  Dapatkan promo khusus hari ini di Shopee! 👇 https://s.shopee.co.id/6VMlg55IGw,⭐ Travel Hack Wajib | 1 terjual di Shopee,https://s.shopee.co.id/6VMlg55IGw,SHOP_NOW
[AFF] Campaign - Product #09 (product_09_masker_mata_3d),PAUSED,AUCTION,OUTBOUND_CLICKS,AdSet - Audience Target - Product #09,25000,PAUSED,18,50,ALL,"Online shopping, Shopee, E-commerce, Discount shopping",Ad Creative - Product #09,PAUSED,🛍️ Promo Hemat Shopee: Masker Mata 3D Gelap Total - Memory Foam,"Dapatkan penawaran terbaik untuk Masker Mata 3D Gelap Total - Memory Foam Lembut, T! 🌟  ✅ Kualitas terjamin ✅ Harga terbaik cuma Rp65.000 ✅ Pengiriman cepat & promo komisi Shopee  Klik Beli Sekarang sebelum kehabisan! 👇 https://s.shopee.co.id/19Hw8jEQ9",✨ Promo Shopee | 3 terjual,https://s.shopee.co.id/19Hw8jEQ9,SHOP_NOW
[AFF] Campaign - Product #10 (product_10_tsa_luggage_key),PAUSED,AUCTION,OUTBOUND_CLICKS,AdSet - Audience Target - Product #10,25000,PAUSED,22,50,ALL,"Frequent travelers, Air travel, Luggage, Vacation, Tourism",Ad Creative - Product #10,PAUSED,✈️ Aksesoris Travel & Koper Premium — Rp60.000,Travel hacks wajib buat kamu yang sering berpergian! 🧳✨  Dapatkan TSA Luggage Key T002 T007 Master Key Kunci Koper G dengan kualitas terbaik! ✅ Awet & tahan lama ✅ Praktis dan mudah digunakan ✅ Solusi koper aman & nyaman  Dapatkan promo khusus hari ini di Shopee! 👇 https://s.shopee.co.id/8AUzf9Ui2L,⭐ Travel Hack Wajib | - di Shopee,https://s.shopee.co.id/8AUzf9Ui2L,SHOP_NOW
